Datetime,CPU,Qu. Size,Qu. Delay (us),Batch Size
12:52:29,0,0.2907333251387564,0.0007942322618948751,0.2907333251387564
12:52:30,0,0.29305701752545465,0.0009266625723936859,0.29305701752545465
12:52:31,0,0.2959254661327697,0.00022960053633754653,0.2959254661327697
12:52:32,0,0.3039482153687983,0.0005305422911699308,0.3039482153687983
12:52:33,0,0.30160663834662726,0.011043933699394172,0.30160663834662726
12:52:34,0,0.30531978478496025,0.0011283879158249463,0.30531978478496025
12:52:35,0,0.30521269645267823,0.0009096662816382297,0.30521269645267823
12:52:36,0,0.30434044540478916,0.0014596613366522847,0.30434044540478916
12:52:37,0,0.30754246108522865,0.000613065984346318,0.30754246108522865
12:52:38,0,0.32128680159939793,0.005009142300127861,0.32128680159939793
12:52:39,0,0.3165967988162788,0.00804187335836294,0.3165967988162788
12:52:40,0,0.3236790501974937,0.005100287704515027,0.3236790501974937
12:52:41,0,0.3219627682373114,0.001875404181886934,0.3219627682373114
12:52:42,0,0.3147986040101799,0.0003252306615699085,0.3147986040101799
12:52:43,0,0.33733353777870817,0.002273270606104657,0.33733353777870817
12:52:44,0,0.33126986428157157,0.0024163014066781183,0.33126986428157157
12:52:45,0,0.33456965417382456,0.0011293746962890013,0.33456965417382456
12:52:46,0,0.3292683717157071,0.0006008031763834797,0.3292683717157071
12:52:47,0,0.3315259414423083,0.000799946586771931,0.3315259414423083
12:52:48,0,0.34434702131079503,0.005603358657580324,0.34434702131079503
12:52:49,0,0.3506972240032826,0.001544442571913089,0.3506972240032826
12:52:50,0,0.3446504029048475,0.0006868462045622466,0.3446504029048475
12:52:51,0,0.34461186112666925,0.0015893697679620537,0.34461186112666925
12:52:52,0,0.3453874337735492,0.006448929494668111,0.3453874337735492
12:52:53,0,0.3587240187396553,0.0014380748965190696,0.3587240187396553
12:52:54,0,0.35988210063694714,0.005176408457811111,0.35988210063694714
12:52:55,0,0.35700057158480136,0.0006272247338867502,0.35700057158480136
12:52:56,0,0.3595925733110297,0.0012657320982073918,0.3595925733110297
12:52:57,0,0.3630876479516859,0.0011189220420698089,0.3630876479516859
12:52:58,0,0.3702462063877803,0.0014837011680092088,0.3702462063877803
12:52:59,0,0.3724319809176653,0.001758147730237476,0.3724319809176653
12:53:00,0,0.37118886311751675,0.0008874939969190769,0.37118886311751675
12:53:01,0,0.37184653255411443,0.0009346364493859091,0.37184653255411443
12:53:02,0,0.37261904585693184,0.004967292060692595,0.37261904585693184
12:53:03,0,0.38329454884687275,0.0007714664539559448,0.38329454884687275
12:53:04,0,0.3934978496269089,0.00830171259446719,0.3934978496269089
12:53:05,0,0.3930164447033442,0.0011465891274701802,0.3930164447033442
12:53:06,0,0.3831708824937169,0.0014654076903260573,0.3831708824937169
12:53:07,0,0.38223645731391437,0.0013177560255532381,0.38223645731391437
12:53:08,0,0.39700868693537583,0.001651705109210329,0.39700868693537583
