Datetime,CPU,Qu. Size,Qu. Delay (us),Batch Size
14:39:26,0,1.425474512049171e-50,6.5614390010876e-311,1.425474512049171e-50
14:39:27,0,1.425474512049171e-50,6.5614390010876e-311,1.425474512049171e-50
14:39:28,0,1.425474512049171e-50,6.5614390010876e-311,1.425474512049171e-50
14:39:29,0,1.425474512049171e-50,6.5614390010876e-311,1.425474512049171e-50
14:39:30,0,1.425474512049171e-50,6.5614390010876e-311,1.425474512049171e-50
14:39:31,0,1.425474512049171e-50,6.5614390010876e-311,1.425474512049171e-50
14:39:32,0,1.425474512049171e-50,6.5614390010876e-311,1.425474512049171e-50
14:39:33,0,1.425474512049171e-50,6.5614390010876e-311,1.425474512049171e-50
14:39:34,0,1.425474512049171e-50,6.5614390010876e-311,1.425474512049171e-50
14:39:35,0,1.425474512049171e-50,6.5614390010876e-311,1.425474512049171e-50
