Datetime,CPU,Qu. Size,Qu. Delay (us),Batch Size
12:54:46,0,40.417049240932265,859.1085112587616,0.9999999990372845
12:54:47,0,0.4236176138847018,0.08800808576406294,0.40745931163359983
12:54:48,0,0.41973655136274346,0.05101369162201155,0.4077995685582916
12:54:49,0,0.420194103866322,0.05057211060929756,0.40816216965143237
12:54:50,0,0.4248996059940954,0.07589275356346112,0.4050202298305682
12:54:51,0,0.42216246941108226,0.05442972333053504,0.40896757854789717
12:54:52,0,0.4208837252936748,0.051748532007791795,0.4071828436241328
12:54:53,0,0.41687020959506965,0.04693183093957335,0.40581214651035935
12:54:54,0,0.4147943671934532,0.03989920957946791,0.40428097087239123
12:54:55,0,0.42024388459977824,0.04320651018428273,0.4097912617958382
