Datetime,CPU,Qu. Size,Qu. Delay (us),Batch Size
13:56:55,0,184.34961938078658,3532.9155070967354,0.9999999977595229
13:56:56,0,174.676110047646,2995.558774633025,1.0
13:56:57,0,181.24173290285242,3241.2795852843756,1.0
13:56:58,0,189.2079377140067,3384.9663527716693,0.9999999999999827
13:56:59,0,0.2759014600542141,0.007572260434830216,0.27455733878409194
13:57:00,0,0.2767632928156797,0.0059635638069804415,0.27503264292767526
13:57:01,0,0.27262078013560115,0.002285823811772644,0.27211703610934795
13:57:02,0,0.27507587454140536,0.004423492850150127,0.27437130932621967
13:57:03,0,0.2754256904585863,0.005718470291720023,0.27427876063390033
13:57:04,0,0.27707357609931005,0.004560630435110378,0.2755533780384204
